Filename,Result,Runtime (s),Memory Usage (KB)
uf50-035.cnf,1,0.014202356338500977,0.0
uf50-0350.cnf,1,0.06261086463928223,0.0
uf50-0351.cnf,1,0.01977705955505371,0.0
uf50-0352.cnf,1,0.030660629272460938,0.0
uf50-0353.cnf,1,0.07441926002502441,0.0
uf50-0354.cnf,1,0.007311820983886719,0.0
uf50-0355.cnf,1,0.05762195587158203,0.0
uf50-0356.cnf,1,0.03872394561767578,0.0
uf50-0357.cnf,1,0.032616376876831055,0.0
uf50-0358.cnf,1,0.125152587890625,0.0
uf50-0359.cnf,1,0.004531145095825195,0.0
uf50-036.cnf,1,0.0034558773040771484,0.0
uf50-0360.cnf,1,0.010425090789794922,0.0
uf50-0361.cnf,1,0.003438711166381836,0.0
uf50-0362.cnf,1,0.016293764114379883,0.0
uf50-0363.cnf,1,0.10767722129821777,0.0
uf50-0364.cnf,1,0.052861928939819336,0.0
uf50-0366.cnf,1,0.0032172203063964844,0.0
uf50-0365.cnf,1,0.09779119491577148,0.0
uf50-0367.cnf,1,0.15834832191467285,0.0
uf50-0368.cnf,1,0.008907794952392578,0.0
uf50-0369.cnf,1,0.02234029769897461,0.0
uf50-037.cnf,1,0.07551264762878418,0.0
uf50-0370.cnf,1,0.1478579044342041,0.0
uf50-0371.cnf,1,0.03724813461303711,0.0
uf50-0372.cnf,1,0.024173736572265625,0.0
uf50-0373.cnf,1,0.004975318908691406,0.0
uf50-0374.cnf,1,0.02652883529663086,0.0
uf50-0375.cnf,1,0.06406235694885254,12.0
uf50-0376.cnf,1,0.003962039947509766,0.0
uf50-0377.cnf,1,0.08090782165527344,0.0
uf50-0378.cnf,1,0.037070274353027344,0.0
uf50-0379.cnf,1,0.0124359130859375,0.0
uf50-038.cnf,1,0.04825162887573242,0.0
uf50-0380.cnf,1,0.026700258255004883,0.0
uf50-0381.cnf,1,0.05618429183959961,0.0
uf50-0382.cnf,1,0.053568363189697266,0.0
uf50-0383.cnf,1,0.06691813468933105,0.0
uf50-0384.cnf,1,0.15156912803649902,0.0
uf50-0385.cnf,1,0.0041582584381103516,0.0
uf50-0386.cnf,1,0.011325359344482422,0.0
uf50-0387.cnf,1,0.029413938522338867,0.0
uf50-0388.cnf,1,0.043390512466430664,0.0
uf50-0389.cnf,1,0.09476780891418457,0.0
uf50-039.cnf,1,0.024257898330688477,0.0
uf50-0390.cnf,1,0.08175230026245117,0.0
uf50-0391.cnf,1,0.12191534042358398,0.0
uf50-0392.cnf,1,0.028006315231323242,0.0
uf50-0393.cnf,1,0.04085111618041992,0.0
uf50-0394.cnf,1,0.013049125671386719,0.0
uf50-0395.cnf,1,0.12691092491149902,0.0
uf50-0396.cnf,1,0.03463315963745117,0.0
uf50-0397.cnf,1,0.027409076690673828,0.0
uf50-0398.cnf,1,0.004567861557006836,0.0
uf50-0399.cnf,1,0.0028748512268066406,0.0
uf50-04.cnf,1,0.062378644943237305,0.0
uf50-040.cnf,1,0.07550692558288574,0.0
uf50-0400.cnf,1,0.0625448226928711,0.0
uf50-0401.cnf,1,0.07540583610534668,0.0
uf50-0402.cnf,1,0.011314153671264648,0.0
uf50-0403.cnf,1,0.08942079544067383,0.0
uf50-0404.cnf,1,0.014580011367797852,0.0
uf50-0405.cnf,1,0.014537572860717773,0.0
uf50-0406.cnf,1,0.02246880531311035,0.0
uf50-0407.cnf,1,0.0025594234466552734,0.0
uf50-0408.cnf,1,0.03624463081359863,0.0
uf50-0409.cnf,1,0.017838001251220703,0.0
uf50-041.cnf,1,0.0916898250579834,0.0
uf50-0410.cnf,1,0.03292584419250488,0.0
uf50-0411.cnf,1,0.01615166664123535,0.0
uf50-0412.cnf,1,0.09110164642333984,0.0
uf50-0413.cnf,1,0.020140409469604492,0.0
uf50-0414.cnf,1,0.025588035583496094,0.0
uf50-0415.cnf,1,0.07106971740722656,0.0
uf50-0417.cnf,1,0.026457786560058594,0.0
uf50-0418.cnf,1,0.01757955551147461,0.0
uf50-0416.cnf,1,0.018767595291137695,0.0
uf50-0419.cnf,1,0.12122225761413574,0.0
uf50-042.cnf,1,0.013828277587890625,0.0
uf50-0421.cnf,1,0.003985166549682617,0.0
uf50-0422.cnf,1,0.017901182174682617,0.0
uf50-0423.cnf,1,0.04481339454650879,0.0
uf50-0420.cnf,1,0.0639650821685791,0.0
uf50-0424.cnf,1,0.014981746673583984,0.0
uf50-0425.cnf,1,0.05587196350097656,0.0
uf50-0427.cnf,1,0.011635065078735352,0.0
uf50-0426.cnf,1,0.08745455741882324,0.0
uf50-0428.cnf,1,0.0038299560546875,0.0
uf50-0429.cnf,1,0.04085087776184082,0.0
uf50-043.cnf,1,0.10348081588745117,0.0
uf50-0430.cnf,1,0.10942721366882324,0.0
uf50-0431.cnf,1,0.0027985572814941406,0.0
uf50-0432.cnf,1,0.003944873809814453,0.0
uf50-0433.cnf,1,0.057267189025878906,0.0
uf50-0434.cnf,1,0.03467082977294922,0.0
uf50-0435.cnf,1,0.009983301162719727,0.0
uf50-0436.cnf,1,0.08706140518188477,0.0
uf50-0437.cnf,1,0.002902984619140625,0.0
uf50-0438.cnf,1,0.041701555252075195,0.0
uf50-0439.cnf,1,0.003701448440551758,0.0
uf50-044.cnf,1,0.06927204132080078,0.0
uf50-0440.cnf,1,0.016785621643066406,0.0
uf50-0441.cnf,1,0.005162477493286133,0.0
uf50-0442.cnf,1,0.08127355575561523,0.0
uf50-0443.cnf,1,0.08505368232727051,0.0
uf50-0444.cnf,1,0.003332853317260742,0.0
uf50-0445.cnf,1,0.06290054321289062,0.0
uf50-0446.cnf,1,0.01208353042602539,0.0
uf50-0447.cnf,1,0.0635228157043457,0.0
uf50-0448.cnf,1,0.16984272003173828,0.0
uf50-0449.cnf,1,0.09428787231445312,0.0
uf50-045.cnf,1,0.048024892807006836,0.0
uf50-0450.cnf,1,0.051793813705444336,0.0
uf50-0451.cnf,1,0.0974583625793457,0.0
uf50-0452.cnf,1,0.05199241638183594,0.0
uf50-0453.cnf,1,0.12526202201843262,0.0
uf50-0454.cnf,1,0.03197216987609863,0.0
uf50-0455.cnf,1,0.10005998611450195,0.0
uf50-0456.cnf,1,0.013295412063598633,0.0
uf50-0457.cnf,1,0.004513740539550781,0.0
uf50-0458.cnf,1,0.04435324668884277,0.0
uf50-0459.cnf,1,0.0066797733306884766,0.0
uf50-046.cnf,1,0.023201465606689453,0.0
uf50-0460.cnf,1,0.00485992431640625,0.0
uf50-0461.cnf,1,0.06171894073486328,0.0
uf50-0462.cnf,1,0.1027519702911377,0.0
uf50-0463.cnf,1,0.0045032501220703125,0.0
uf50-0464.cnf,1,0.0737314224243164,0.0
uf50-0465.cnf,1,0.10272574424743652,0.0
uf50-0466.cnf,1,0.0649561882019043,0.0
uf50-0467.cnf,1,0.11385607719421387,0.0
uf50-0468.cnf,1,0.017274141311645508,0.0
uf50-0469.cnf,1,0.06051468849182129,0.0
uf50-047.cnf,1,0.017291545867919922,0.0
uf50-0470.cnf,1,0.06767630577087402,0.0
uf50-0471.cnf,1,0.15969562530517578,0.0
uf50-0472.cnf,1,0.0300140380859375,0.0
uf50-0473.cnf,1,0.06026434898376465,0.0
uf50-0474.cnf,1,0.04060769081115723,0.0
uf50-0475.cnf,1,0.003762960433959961,0.0
uf50-0476.cnf,1,0.028530120849609375,0.0
uf50-0477.cnf,1,0.06955337524414062,0.0
uf50-0478.cnf,1,0.05221295356750488,0.0
uf50-0479.cnf,1,0.05222725868225098,0.0
uf50-048.cnf,1,0.07651233673095703,0.0
uf50-0480.cnf,1,0.006285429000854492,0.0
uf50-0481.cnf,1,0.005942583084106445,0.0
uf50-0482.cnf,1,0.02118396759033203,0.0
uf50-0483.cnf,1,0.019750595092773438,0.0
uf50-0484.cnf,1,0.05937910079956055,0.0
uf50-0485.cnf,1,0.04153108596801758,0.0
uf50-0486.cnf,1,0.05224204063415527,0.0
uf50-0487.cnf,1,0.003527402877807617,0.0
uf50-0488.cnf,1,0.04655122756958008,0.0
uf50-0489.cnf,1,0.06357812881469727,0.0
uf50-049.cnf,1,0.10638117790222168,0.0
uf50-0490.cnf,1,0.053786277770996094,0.0
uf50-0491.cnf,1,0.04932689666748047,0.0
uf50-0492.cnf,1,0.02425694465637207,0.0
uf50-0493.cnf,1,0.048456430435180664,0.0
uf50-0494.cnf,1,0.025699853897094727,0.0
uf50-0495.cnf,1,0.03300285339355469,0.0
uf50-0496.cnf,1,0.021623611450195312,0.0
